,SERIES_NAME,TotalAssets,TotalLiabilities
439,Allspring C&B Mid Cap Value Fund,362995557.14,315457.6
440,Allspring California Limited-Term Tax-Free fund,440891983.93,7798125.29
441,Allspring California Tax-Free Fund,757970717.77,3581425.31
442,Allspring Common Stock Fund,831620707.25,9745783.2
443,Allspring Conservative Income Fund,271110153.59,5773087.75
444,Allspring Core Bond Fund,4274126948.69,10811946.26
445,Allspring Core Bond Portfolio,4871564482.6,390744681.53
446,Allspring Core Plus Bond Fund,2960156793.55,192584909.76
447,Allspring Disciplined International Developed Markets Portfolio,146327329.5,1923626.7
448,Allspring Disciplined Large Cap Portfolio,228635323.24,84419.84
449,Allspring Disciplined U.S. Core Fund,884739325.13,690541.06
450,Allspring Discovery Large Cap Growth Fund,183414386.67,74207.24
451,Allspring Discovery Mid Cap Growth Fund,574892679.27,753956.37
452,Allspring Discovery SMID Cap Growth Fund,1315569457.6,3857121.63
453,Allspring Discovery Small Cap Growth Fund,113626225.81,7993842.5
454,Allspring Diversified Capital Builder Fund,1003671691.61,4501306.05
455,Allspring Diversified Large Cap Growth Portfolio,187460537.57,332826.2
456,Allspring Dynamic Target 2020 Fund,145865516.44,99062.21
457,Allspring Dynamic Target 2025 Fund,97415734.98,69113.84
458,Allspring Dynamic Target 2030 Fund,240093471.73,127963.42
459,Allspring Dynamic Target 2035 Fund,116091287.73,74624.66
460,Allspring Dynamic Target 2040 Fund,249621920.37,131185.62
461,Allspring Dynamic Target 2045 Fund,55939368.03,53193.26
462,Allspring Dynamic Target 2050 Fund,93885904.14,52657.15
463,Allspring Dynamic Target 2060 Fund,12377842.72,22698.24
464,Allspring Dynamic Target Today Fund,67595196.92,63925.9
465,Allspring Emerging Growth Fund,328426031.92,150780.35
466,Allspring Emerging Growth Portfolio,375095008.98,9849961.84
467,Allspring Emerging Markets Bond Portfolio,13598757.25,221878.89
468,Allspring Emerging Markets Equity Fund,4338178539.96,123408295.03
469,Allspring Emerging Markets Equity Income Fund,340204897.54,3170472.08
470,Allspring Factor Enhanced Emerging Markets Equity Portfolio,117914801.15,761904.9
471,Allspring Factor Enhanced U.S. Small Cap Equity Portfolio,128203071.49,80666.82
472,Allspring Global Investment Grade Credit Fund,28463065.97,263497.85
473,Allspring Global Long/Short Equity Fund,814987301.56,195767144.51
474,Allspring Growth Balanced Fund,190678824.26,188218.28
475,Allspring Growth Fund,3093275027.29,19272286.16
476,Allspring High Yield Bond Fund,334111473.36,25504943.79
477,Allspring High Yield Corporate Bond Portfolio,13452285.5,55124.56
478,Allspring Income Plus Fund,167970367.92,3702926.7
479,Allspring Index Asset Allocation Fund,1308789333.29,1728836.58
480,Allspring Index Fund,1103433847.21,565086.55
481,Allspring International Bond Fund,58689122.25,1063924.86
482,Allspring Investment Grade Corporate Bond Portfolio,82013694.75,52629.04
483,Allspring Large Cap Growth Fund,746374624.2,3749126.73
484,Allspring Large Company Value Portfolio,195315776.85,103368.03
485,Allspring Managed Account CoreBuilder Shares Series CP,22309959.32,93804.5
486,Allspring Managed Account CoreBuilder Shares Series M,698235091.07,2414435.97
487,Allspring Managed Account CoreBuilder Shares Series SM,23097676.29,30048.38
488,Allspring Managed Fixed Income Portfolio,378323277.73,4754266.07
489,Allspring Mid Cap Value Portfolio,455224151.58,59761987.31
490,Allspring Minnesota Tax-Free Fund,186446490.98,789304.1
491,Allspring Moderate Balanced Fund,107640948.8,51858.09
492,Allspring Municipal Bond Fund,5647253715.17,30655108.71
493,Allspring Opportunity Fund,1607699772.64,2129997.4
494,Allspring Pennsylvania Tax-Free Fund,106270002.33,559617.26
495,Allspring Premier Large Company Growth Fund,1962857601.8,7897198.7
496,Allspring Real Return Fund,78898500.6,26845.62
497,Allspring Real Return Portfolio,218843235.56,909613.76
498,Allspring Short Duration Government Bond Fund,466078492.72,66269143.38
499,Allspring Short-Term Bond Plus Fund,604670179.41,11047222.42
500,Allspring Short-Term High Yield Bond Fund,1475549918.29,28425496.41
501,Allspring Small Cap Fund,40511127.55,452129.27
502,Allspring Small Company Growth Portfolio,713696742.18,9900837.57
503,Allspring Small Company Value Fund,538866381.8,206612.21
504,Allspring Small Company Value Portfolio,606223851.94,3373078.23
505,Allspring Special Global Small Cap Fund,168637893.6,4369006.49
506,Allspring Special International Small Cap Fund,191432112.33,645380.6
507,Allspring Special Mid Cap Value Fund,11424380220.82,9819001.72
508,Allspring Special Small Cap Value Fund,4989906986.42,26514454.71
509,Allspring Specialized Technology Fund,373282510.2,672191.24
510,Allspring Spectrum Aggressive Growth Fund,480649484.9,556039.43
511,Allspring Spectrum Conservative Growth Fund,283838736.07,6238769.06
512,Allspring Spectrum Growth Fund,227189472.13,4710288.29
513,Allspring Spectrum Income Allocation Fund,155984946.75,3287197.73
514,Allspring Spectrum Moderate Growth Fund,419304781.61,8491733.97
515,Allspring Strategic Municipal Bond Fund,2046429530.97,8496456.39
516,Allspring Strategic Retirement Bond Portfolio,27703539.58,41381.83
517,Allspring U.S. Long/Short Equity Fund,6080226.35,1581481.79
518,Allspring U.S. REIT Portfolio,17665533.66,35422.43
519,Allspring Ultra Short-Term Income Fund,1868438712.98,15237642.24
520,Allspring Ultra Short-Term Municipal Income Fund,1186655494.31,2608619.49
521,Allspring Utility and Telecommunications Fund,425362719.65,475604.87
522,Allspring VT Discovery Fund,128406420.35,1159258.12
523,Allspring VT Index Asset Allocation Fund,62639264.4,77572.98
524,Allspring VT International Equity Fund,60536486.88,1535717.11
525,Allspring VT Omega Growth Fund,60445007.73,65396.61
526,Allspring VT Opportunity Fund,159672640.6,202473.86
527,Allspring Wisconsin Tax-Free Fund,137229699.28,654329.13
528,Alpha Alternative Assets Fund,4768688.65,103735.21
529,Alpha Architect 1-3 Month Box ETF,17006958.86,21.36
530,Alpha Architect High Inflation and Deflation ETF,4975071.15,293672.86
531,Alpha Architect International Quantitative Momentum ETF,66026332.04,3805573.47
532,Alpha Architect International Quantitative Value ETF,132645890.22,11341238.67
533,Alpha Architect U.S. Quantitative Momentum ETF,135322895.63,2173012.01
534,Alpha Architect U.S. Quantitative Value ETF,220276707.95,2030261.75
535,Alpha Architect Value Momentum Trend ETF,71633173.4,32491172.64
536,Alpha Core Strategies Fund,656075596.58,23921852.72
537,Alpha Dog ETF,53494982.86,875679.08
538,Alpha Fiduciary Quantitative Strategy Fund,22522393.56,533249.82
539,Alpha Intelligent - Large Cap Growth ETF,664332,295.31
540,Alpha Intelligent - Large Cap Value ETF,748349.68,523.01
541,AlphaCentric Income Opportunities Fund,807206697.31,30683336.13
542,AlphaCentric LifeSci Healthcare Fund,50813893.49,289000.68
543,AlphaCentric Municipal Opportunities Fund,9260648.86,341659.17
544,AlphaCentric Premium Opportunity Fund,106282905.88,504149.58
545,AlphaCentric Prime Meridian Income Fund,5072857,94085.78
546,AlphaCentric Robotics and Automation Fund,30721236.92,180593.78
547,AlphaCentric Strategic Income Fund,45283959.28,228206.08
548,AlphaCentric Symmetry Strategy Fund,55342065.25,333555.71
549,AlphaMark Actively Managed Small Cap ETF,22666665.01,17709.06
550,AlphaSimplex Global Alternatives Fund,215638450.93,1285760.61
551,AlphaSimplex Managed Futures Strategy Fund,2880036695.01,15545910.05
552,AltShares Event-Driven ETF,3090383.56,14794.95
553,AltShares Merger Arbitrage ETF,93186397.13,5639226.92
554,Altaba Inc.,2252814320.24,26232863.38
555,Altegris Futures Evolution Strategy Fund,90760637.07,457644.78
556,Altegris/AACA Opportunistic Real Estate Fund,263803403.95,39065812.27
557,Alternative Asset Allocation Fund,733233545.3,356457.28
558,Alternative Credit Income Fund,280351493.44,22290787.77
559,Alternative Investment Partners Absolute Return Fund,366089625.18,69391527.21
560,Alternative Strategies Fund,150445056.52,220713.45
561,Amana Developing World Fund,71793648.81,459010.85
562,Amana Growth Fund,3449235732.78,20092298.3
563,Amana Income Fund,1606190652.83,3549870.12
564,Amana Participation Fund,208922799.06,226314.24
565,Ambrus Core Bond Fund,34550009.09,4974434.54
566,AmericaFirst Income Fund,20323794.93,44844.21
567,AmericaFirst Large Cap Share Buyback Fund,3952773.1,16703.7
568,AmericaFirst Monthly Risk-On Risk-Off Fund,6310533.04,26503.91
569,American Asset Allocation Trust,1131461338.07,57310.71
570,American Balanced Fund,207479033874.77,15472693991.85
571,American Beacon AHL Managed Futures Strategy Fund,3661617766.37,29817039.28
572,American Beacon AHL TargetRisk Core Fund,9567789.37,82561.47
573,American Beacon ARK Transformational Innovation Fund,191825045.55,2964399.59
574,American Beacon Balanced Fund,151299304.62,748648.99
575,American Beacon Bridgeway Large Cap Growth Fund,149196469.37,47090.48
576,American Beacon Bridgeway Large Cap Value Fund,481905382.96,1862703.99
577,American Beacon Developing World Income Fund,398859246.14,813752.77
578,American Beacon Diversified Fund,518321087.29,1967199.39
579,American Beacon EAM International Small Cap Fund,207339457.13,22264522.23
580,American Beacon Garcia Hamilton Quality Bond Fund,299333659.77,941079.26
581,American Beacon International Equity Fund,1185743205.97,65000798.67
582,American Beacon Large Cap Value Fund,3372865773.5,9009945.94
583,American Beacon NIS Core Plus Bond Fund,6571235.13,101746.54
584,American Beacon SSI Alternative Income Fund,132807368.05,21612557.72
585,American Beacon Shapiro Equity Opportunities Fund,176365694.78,130565.08
586,American Beacon SiM High Yield Opportunities Fund,1390839176.34,11049221.85
587,American Beacon Small Cap Value Fund,4779451867.73,19356110.53
588,American Beacon Sound Point Floating Rate Income Fund,425174046.02,20941608.81
589,American Beacon Stephens Mid-Cap Growth Fund,480247361.59,514750.88
590,American Beacon Stephens Small Cap Growth Fund,272614657.78,668064.03
591,American Beacon The London Company Income Equity Fund,1844311466.36,1437717.81
592,American Beacon TwentyFour Strategic Income Fund,91984317,1181999.56
593,American Beacon TwentyFour Sustainable Short Term Bond Fund,15009397.45,145297.29
594,American Century Diversified Corporate Bond ETF,174345187.02,5407291.38
595,American Century Emerging Markets Bond ETF,26794180.88,290168.27
596,American Century Focused Dynamic Growth ETF,130831515.35,46186.01
597,American Century Focused Large Cap Value ETF,236419427.74,78393.3
598,American Century Low Volatility ETF,8572313.85,1964.94
599,American Century Mid Cap Growth Impact ETF,27135002.4,391100.5
600,American Century Quality Convertible Securities ETF,34953893.25,8621.64
601,American Century Quality Diversified International ETF,222969823.31,6949512.27
602,American Century Quality Preferred ETF,23031934.28,5859.25
603,American Century STOXX U.S. Quality Value ETF,243319707.07,12087903.7
604,American Century Select High Yield ETF,30071484.92,1767250.06
605,American Century Short Duration Strategic Income ETF,31076624.61,608300.4
606,American Century Sustainable Growth ETF,6582461.55,2007.15
607,American Conservative Values ETF,37620254.3,22685.17
608,American Customer Satisfaction ETF,64688820.33,37001.93
609,American Funds 2010 Target Date Retirement Fund,4096427252.28,12680578.05
610,American Funds 2020 Target Date Retirement Fund,16511839978.29,19484216.15
611,American Funds 2025 Target Date Retirement Fund,31321484034.39,28129049.62
612,American Funds 2030 Target Date Retirement Fund,39054524826.09,34228933.34
613,American Funds 2035 Target Date Retirement Fund,34473466076.01,38157758.73
614,American Funds 2040 Target Date Retirement Fund,30516435154.58,31037128.97
615,American Funds 2045 Target Date Retirement Fund,24623699349.8,29433150.28
616,American Funds 2050 Target Date Retirement Fund,21491560473.85,26097370.76
617,American Funds 2055 Target Date Retirement Fund,13922329321.25,21693821.16
618,American Funds 2060 Target Date Retirement Fund,7360823511.74,13550392.37
619,American Funds 2065 Target Date Retirement Fund,1042215450.7,15448739.72
620,American Funds Balanced Allocation Portfolio,3878201819.1,2288337.18
621,American Funds College 2024 Fund,2958629464.48,1471648.34
622,American Funds College 2027 Fund,2819403901.7,2840198.62
623,American Funds College 2030 Fund,3214911502.05,2527561.52
624,American Funds College 2033 Fund,2386514034.57,2886763.28
625,American Funds College 2039 Fund,399215854.06,1531436.42
626,American Funds Conservative Growth and Income Portfolio,7316381820.71,9132580.25
627,American Funds Corporate Bond Fund,1663408343.41,84721664.78
628,American Funds Emerging Markets Bond Fund,1078272098.75,210668029.36
629,American Funds Fundamental Investors,105465916222,236164185.11
630,American Funds Global Balanced Fund,27467372603.079998,2635264933.04
631,American Funds Global Growth Portfolio,4982666819.64,2786900.58
632,American Funds Global Insight Fund,9188907487.24,63235575.65
633,American Funds Growth Allocation Portfolio,2602864501.84,1614091.22
634,American Funds Growth Portfolio,1379129745.72,901514.02
635,American Funds Growth and Income Portfolio,14282951696.89,10506832.41
636,American Funds IS 2010 Target Date Fund,431008119.93,968794.61
637,American Funds IS 2015 Target Date Fund,25334078.67,21350.83
638,American Funds IS 2020 Target Date Fund,2571554.5,2146.05
639,American Funds IS 2030 Target Date Fund,493716.13,308.52
640,American Funds International Vantage Fund,1272728191.4,10027672.59
641,American Funds Mortgage Fund,275029193.73,98236668.25999999
642,American Funds Preservation Portfolio,2429679160.13,3439102.66
643,American Funds Retirement Income Portfolio - Conservative,1341109896.95,1179181.02
644,American Funds Retirement Income Portfolio - Moderate,1422512999.44,867441.83
645,American Funds Short-Term Tax-Exempt Bond Fund,2513870385.84,66409930.73
646,American Funds Strategic Bond Fund,17711142773.76,1926273551.6
647,American Funds Tax-Aware Conservative Growth and Income Portfolio,4522116046.84,3415507.01
648,American Funds Tax-Exempt Preservation Portfolio,577393715.88,363646.82
649,American Global Growth Trust,180677621.13,28504.21
650,American Growth - Income Trust,824713203.4,44195.7
651,American Growth Trust,736968620.49,40947.59
652,American High Income Trust,18416691624.12,248670221.31
653,American High-Income Municipal Bond Fund,10746659822.6,142189815.84
654,American International Trust,348013155.8,56857.7
655,American Resilience Portfolio,1019613.7,87032.67
656,American Trust Allegiance Fund,26598174.88,81300.04
657,Amplify BlackSwan Growth & Treasury Core ETF,252829365.52,104617.42
658,Amplify BlackSwan Tech & Treasury ETF,2199247.26,894.52
659,Amplify CWP Enhanced Dividend Income ETF,2675375875.58,14190173.07
660,Amplify High Income ETF,377621998.13,15739742.52
661,Amplify Inflation Fighter ETF,11113294.91,198121.5
662,Amplify International Enhanced Dividend Income ETF,14075433.11,1542655.7
663,Amplify Natural Resources Dividend Income ETF,3505010.31,1707.25
664,Amplify Online Retail ETF,239168954.9,17354539.57
665,Amplify Seymour Cannabis ETF,35255248.36,1865154.629999999
666,Amplify Thematic All-Stars ETF,3949965.1,87420.27
667,Amplify Transformational Data Sharing ETF,568011345.17,128316665.17
668,Anchor Risk Managed Credit Strategies Fund,35471147.13,96349.61
669,Anchor Risk Managed Equity Strategies Fund,566225257.09,915508.52
670,Ancora Dividend Value Equity Fund,36983673.71,48697.73
671,Ancora Income Fund,33023041.14,975799.06
672,Ancora Microcap Fund,13592866,74604
673,Ancora/Thelen Small-Mid Cap Fund,136311313,1108681
674,Anfield Diversified Alternatives ETF,61224886.38,75693.28
675,Anfield Dynamic Fixed Income ETF,15529757.9,58487.27
676,Anfield US Equity Sector Rotation ETF,102214638.13,103902.15
677,Anfield Universal Fixed Income ETF,121029130.26,2375555.17
678,Anfield Universal Fixed Income Fund,113251259.99,867993.01
679,Angel Oak Core Impact Fund,34984174.6,198512.9
680,Angel Oak Financial Strategies Income Term Trust,527186422.28,157458661.47
681,Angel Oak Financials Income Fund,103982076.8,784298.22
682,Angel Oak High Yield Opportunities Fund,64297138.94,1207809.15
683,Angel Oak Income ETF,34450978.71,814797.16
684,Angel Oak Multi-Strategy Income Fund,3731699598.16,790496580.81
685,Angel Oak Strategic Credit Fund,87893284.53,7518477.27
686,Angel Oak UltraShort Income Fund,696838628.45,3221426.18
687,Aperture Discover Equity Fund,385589899.89,25275360.96
688,Aperture Endeavour Equity Fund,186353497.89,51569633.82
689,Aperture International Equity Fund,354480511.25,87434531.34
690,Apollo Diversified Credit Fund,854286093.45,300083581.44
691,Apollo Diversified Real Estate Fund,5921006994.92,139812775.38
692,Applied Finance Dividend Fund,28698480.65,21793.03
693,Applied Finance Explorer Fund,388763642.55,366364.07
694,Applied Finance Select Fund,401853022.91,299989.91
695,Appreciation Portfolio,183373390.69,536242.55
696,Aquarius International Fund,380680251.91,1274418.92
697,Aquila Churchill Tax-Free Fund of Kentucky,167193210.5,1086728.6
698,Aquila High Income Fund,108185851.86,981135.28
699,Aquila Opportunity Growth Fund,131455913.64,390748.48
700,Aquila Tax-Free Fund For Utah,340821065.15,2949496.13
701,Aquila Tax-Free Fund of Colorado,184398393.39,1067033.48
702,Aquila Tax-Free Trust of Arizona,203540791.71,3334365.4
703,Aquila Tax-Free Trust of Oregon,464839936.06,2662845.56
704,Arca US Treasury Fund,569689.34,198223.72
705,Archer Dividend Growth Fund,25825351.09,34137.52
706,Archer Income Fund,9935598.83,169675.25
707,Archer Multi Cap Fund,5020635.4,11244.3
708,Archer Stock Fund,22190864.34,25517.43
709,Arena Strategic Income Fund,198978.64,147013.05
710,"Ares Dynamic Credit Allocation Fund, Inc.",502607846.73,195783895.39
711,Ares Private Markets Fund,278585553.85,874264.5
712,Argent Mid Cap ETF,28069788.02,11272.85
713,Ariel Appreciation Fund,1141432020.3,261171.76
714,Ariel Focus Fund,62092836.85,22115.11
715,Ariel Fund,2535041045.5,5569971.89
716,Ariel Global Fund,185760079.94,1381513
717,Ariel International Fund,678136774.44,2258561.58
718,Arin Large Cap Theta Fund,791245657.5799999,502701031.20000005
719,Aristotle Core Equity Fund,167801780.93,177971.57
720,Aristotle International Equity Fund,378509771.16,416462.83
721,Aristotle Small Cap Equity Fund,190802289.36,236231.04
722,Aristotle Value Equity Fund,684519117.67,529106.28
723,Armor US Equity Index ETF,47170703.08,1451838.83
724,Arrow DWA Tactical: Balanced Fund,45525333.91,4825736.08
725,Arrow DWA Tactical: International ETF,11809855.1,127575.66
