SERIES_NAME,TotalLiabilities,TotalAssets
Allspring Emerging Markets Bond Portfolio,221878.89,13598757.25
Allspring Emerging Markets Equity Fund,123408295.03,4338178539.96
Allspring Emerging Markets Equity Income Fund,3170472.08,340204897.54
Allspring Factor Enhanced Emerging Markets Equity Portfolio,761904.9,117914801.15
Allspring Factor Enhanced U.S. Small Cap Equity Portfolio,80666.82,128203071.49
Allspring Global Investment Grade Credit Fund,263497.85,28463065.97
Allspring Global Long/Short Equity Fund,195767144.51,814987301.56
Allspring Growth Balanced Fund,188218.28,190678824.26
Allspring Growth Fund,19272286.16,3093275027.29
Allspring High Yield Bond Fund,25504943.79,334111473.36
Allspring High Yield Corporate Bond Portfolio,55124.56,13452285.5
Allspring Income Plus Fund,3702926.7,167970367.92
Allspring Index Asset Allocation Fund,1728836.58,1308789333.29
Allspring Index Fund,565086.55,1103433847.21
Allspring International Bond Fund,1063924.86,58689122.25
Allspring Investment Grade Corporate Bond Portfolio,52629.04,82013694.75
Allspring Large Cap Growth Fund,3749126.73,746374624.2
Allspring Large Company Value Portfolio,103368.03,195315776.85
Allspring Managed Account CoreBuilder Shares Series CP,93804.5,22309959.32
Allspring Managed Account CoreBuilder Shares Series M,2414435.97,698235091.07
Allspring Managed Account CoreBuilder Shares Series SM,30048.38,23097676.29
Allspring Managed Fixed Income Portfolio,4754266.07,378323277.73
Allspring Mid Cap Value Portfolio,59761987.31,455224151.58
Allspring Minnesota Tax-Free Fund,789304.1,186446490.98
Allspring Moderate Balanced Fund,51858.09,107640948.8
Allspring Municipal Bond Fund,30655108.71,5647253715.17
Allspring Opportunity Fund,2129997.4,1607699772.64
Allspring Pennsylvania Tax-Free Fund,559617.26,106270002.33
Allspring Premier Large Company Growth Fund,7897198.7,1962857601.8
Allspring Real Return Fund,26845.62,78898500.6
Allspring Real Return Portfolio,909613.76,218843235.56
Allspring Short Duration Government Bond Fund,66269143.38,466078492.72
Allspring Short-Term Bond Plus Fund,11047222.42,604670179.41
Allspring Short-Term High Yield Bond Fund,28425496.41,1475549918.29
Allspring Small Cap Fund,452129.27,40511127.55
Allspring Small Company Growth Portfolio,9900837.57,713696742.18
Allspring Small Company Value Fund,206612.21,538866381.8
Allspring Small Company Value Portfolio,3373078.23,606223851.94
Allspring Special Global Small Cap Fund,4369006.49,168637893.6
Allspring Special International Small Cap Fund,645380.6,191432112.33
Allspring Special Mid Cap Value Fund,9819001.72,11424380220.82
Allspring Special Small Cap Value Fund,26514454.71,4989906986.42
Allspring Specialized Technology Fund,672191.24,373282510.2
Allspring Spectrum Aggressive Growth Fund,556039.43,480649484.9
Allspring Spectrum Conservative Growth Fund,6238769.06,283838736.07
Allspring Spectrum Growth Fund,4710288.29,227189472.13
Allspring Spectrum Income Allocation Fund,3287197.73,155984946.75
Allspring Spectrum Moderate Growth Fund,8491733.97,419304781.61
Allspring Strategic Municipal Bond Fund,8496456.39,2046429530.97
Allspring Strategic Retirement Bond Portfolio,41381.83,27703539.58
Allspring U.S. Long/Short Equity Fund,1581481.79,6080226.35
Allspring U.S. REIT Portfolio,35422.43,17665533.66
Allspring Ultra Short-Term Income Fund,15237642.24,1868438712.98
Allspring Ultra Short-Term Municipal Income Fund,2608619.49,1186655494.31
Allspring Utility and Telecommunications Fund,475604.87,425362719.65
Allspring VT Discovery Fund,1159258.12,128406420.35
Allspring VT Index Asset Allocation Fund,77572.98,62639264.4
Allspring VT International Equity Fund,1535717.11,60536486.88
Allspring VT Omega Growth Fund,65396.61,60445007.73
Allspring VT Opportunity Fund,202473.86,159672640.6
Allspring Wisconsin Tax-Free Fund,654329.13,137229699.28
Alpha Alternative Assets Fund,103735.21,4768688.65
Alpha Architect 1-3 Month Box ETF,21.36,17006958.86
Alpha Architect High Inflation and Deflation ETF,293672.86,4975071.15
Alpha Architect International Quantitative Momentum ETF,3805573.47,66026332.04
Alpha Architect International Quantitative Value ETF,11341238.67,132645890.22
Alpha Architect U.S. Quantitative Momentum ETF,2173012.01,135322895.63
Alpha Architect U.S. Quantitative Value ETF,2030261.75,220276707.95
Alpha Architect Value Momentum Trend ETF,32491172.64,71633173.4
Alpha Core Strategies Fund,23921852.72,656075596.58
Alpha Dog ETF,875679.08,53494982.86
Alpha Fiduciary Quantitative Strategy Fund,533249.82,22522393.56
Alpha Intelligent - Large Cap Growth ETF,295.31,664332.0
Alpha Intelligent - Large Cap Value ETF,523.01,748349.68
AlphaCentric Income Opportunities Fund,30683336.13,807206697.31
AlphaCentric LifeSci Healthcare Fund,289000.68,50813893.49
AlphaCentric Municipal Opportunities Fund,341659.17,9260648.86
AlphaCentric Premium Opportunity Fund,504149.58,106282905.88
AlphaCentric Prime Meridian Income Fund,94085.78,5072857.0
AlphaCentric Robotics and Automation Fund,180593.78,30721236.92
AlphaCentric Strategic Income Fund,228206.08,45283959.28
AlphaCentric Symmetry Strategy Fund,333555.71,55342065.25
AlphaMark Actively Managed Small Cap ETF,17709.06,22666665.01
AlphaSimplex Global Alternatives Fund,1285760.61,215638450.93
AlphaSimplex Managed Futures Strategy Fund,15545910.05,2880036695.01
AltShares Event-Driven ETF,14794.95,3090383.56
AltShares Merger Arbitrage ETF,5639226.92,93186397.13
Altaba Inc.,26232863.38,2252814320.24
Altegris Futures Evolution Strategy Fund,457644.78,90760637.07
Altegris/AACA Opportunistic Real Estate Fund,39065812.27,263803403.95
Alternative Asset Allocation Fund,356457.28,733233545.3
Alternative Credit Income Fund,22290787.77,280351493.44
Alternative Investment Partners Absolute Return Fund,69391527.21,366089625.18
Alternative Strategies Fund,220713.45,150445056.52
Amana Developing World Fund,459010.85,71793648.81
Amana Growth Fund,20092298.3,3449235732.78
Amana Income Fund,3549870.12,1606190652.83
Amana Participation Fund,226314.24,208922799.06
Ambrus Core Bond Fund,4974434.54,34550009.09
AmericaFirst Income Fund,44844.21,20323794.93
AmericaFirst Large Cap Share Buyback Fund,16703.7,3952773.1
AmericaFirst Monthly Risk-On Risk-Off Fund,26503.91,6310533.04
American Asset Allocation Trust,57310.71,1131461338.07
American Balanced Fund,15472693991.85,207479033874.77
American Beacon AHL Managed Futures Strategy Fund,29817039.28,3661617766.37
American Beacon AHL TargetRisk Core Fund,82561.47,9567789.37
American Beacon ARK Transformational Innovation Fund,2964399.59,191825045.55
American Beacon Balanced Fund,748648.99,151299304.62
American Beacon Bridgeway Large Cap Growth Fund,47090.48,149196469.37
American Beacon Bridgeway Large Cap Value Fund,1862703.99,481905382.96
American Beacon Developing World Income Fund,813752.77,398859246.14
American Beacon Diversified Fund,1967199.39,518321087.29
American Beacon EAM International Small Cap Fund,22264522.23,207339457.13
American Beacon Garcia Hamilton Quality Bond Fund,941079.26,299333659.77
American Beacon International Equity Fund,65000798.67,1185743205.97
American Beacon Large Cap Value Fund,9009945.94,3372865773.5
American Beacon NIS Core Plus Bond Fund,101746.54,6571235.13
American Beacon SSI Alternative Income Fund,21612557.72,132807368.05
American Beacon Shapiro Equity Opportunities Fund,130565.08,176365694.78
American Beacon SiM High Yield Opportunities Fund,11049221.85,1390839176.34
American Beacon Small Cap Value Fund,19356110.53,4779451867.73
American Beacon Sound Point Floating Rate Income Fund,20941608.81,425174046.02
American Beacon Stephens Mid-Cap Growth Fund,514750.88,480247361.59
American Beacon Stephens Small Cap Growth Fund,668064.03,272614657.78
American Beacon The London Company Income Equity Fund,1437717.81,1844311466.36
American Beacon TwentyFour Strategic Income Fund,1181999.56,91984317.0
American Beacon TwentyFour Sustainable Short Term Bond Fund,145297.29,15009397.45
American Century Diversified Corporate Bond ETF,5407291.38,174345187.02
American Century Emerging Markets Bond ETF,290168.27,26794180.88
American Century Focused Dynamic Growth ETF,46186.01,130831515.35
American Century Focused Large Cap Value ETF,78393.3,236419427.74
American Century Low Volatility ETF,1964.94,8572313.85
American Century Mid Cap Growth Impact ETF,391100.5,27135002.4
American Century Quality Convertible Securities ETF,8621.64,34953893.25
American Century Quality Diversified International ETF,6949512.27,222969823.31
American Century Quality Preferred ETF,5859.25,23031934.28
American Century STOXX U.S. Quality Value ETF,12087903.7,243319707.07
American Century Select High Yield ETF,1767250.06,30071484.92
American Century Short Duration Strategic Income ETF,608300.4,31076624.61
American Century Sustainable Growth ETF,2007.15,6582461.55
American Conservative Values ETF,22685.17,37620254.3
American Customer Satisfaction ETF,37001.93,64688820.33
American Funds 2010 Target Date Retirement Fund,12680578.05,4096427252.28
American Funds 2020 Target Date Retirement Fund,19484216.15,16511839978.29
American Funds 2025 Target Date Retirement Fund,28129049.62,31321484034.39
American Funds 2030 Target Date Retirement Fund,34228933.34,39054524826.09
American Funds 2035 Target Date Retirement Fund,38157758.73,34473466076.01
American Funds 2040 Target Date Retirement Fund,31037128.97,30516435154.58
American Funds 2045 Target Date Retirement Fund,29433150.28,24623699349.8
American Funds 2050 Target Date Retirement Fund,26097370.76,21491560473.85
American Funds 2055 Target Date Retirement Fund,21693821.16,13922329321.25
American Funds 2060 Target Date Retirement Fund,13550392.37,7360823511.74
American Funds 2065 Target Date Retirement Fund,15448739.72,1042215450.7
American Funds Balanced Allocation Portfolio,2288337.18,3878201819.1
American Funds College 2024 Fund,1471648.34,2958629464.48
American Funds College 2027 Fund,2840198.62,2819403901.7
American Funds College 2030 Fund,2527561.52,3214911502.05
American Funds College 2033 Fund,2886763.28,2386514034.57
American Funds College 2039 Fund,1531436.42,399215854.06
American Funds Conservative Growth and Income Portfolio,9132580.25,7316381820.71
American Funds Corporate Bond Fund,84721664.78,1663408343.41
American Funds Emerging Markets Bond Fund,210668029.36,1078272098.75
American Funds Fundamental Investors,236164185.11,105465916222.0
American Funds Global Balanced Fund,2635264933.04,27467372603.079998
American Funds Global Growth Portfolio,2786900.58,4982666819.64
American Funds Global Insight Fund,63235575.65,9188907487.24
American Funds Growth Allocation Portfolio,1614091.22,2602864501.84
American Funds Growth Portfolio,901514.02,1379129745.72
American Funds Growth and Income Portfolio,10506832.41,14282951696.89
American Funds IS 2010 Target Date Fund,968794.61,431008119.93
American Funds IS 2015 Target Date Fund,21350.83,25334078.67
American Funds IS 2020 Target Date Fund,2146.05,2571554.5
American Funds IS 2030 Target Date Fund,308.52,493716.13
American Funds International Vantage Fund,10027672.59,1272728191.4
American Funds Mortgage Fund,98236668.25999999,275029193.73
American Funds Preservation Portfolio,3439102.66,2429679160.13
American Funds Retirement Income Portfolio - Conservative,1179181.02,1341109896.95
American Funds Retirement Income Portfolio - Moderate,867441.83,1422512999.44
American Funds Short-Term Tax-Exempt Bond Fund,66409930.73,2513870385.84
American Funds Strategic Bond Fund,1926273551.6,17711142773.76
American Funds Tax-Aware Conservative Growth and Income Portfolio,3415507.01,4522116046.84
American Funds Tax-Exempt Preservation Portfolio,363646.82,577393715.88
American Global Growth Trust,28504.21,180677621.13
American Growth - Income Trust,44195.7,824713203.4
American Growth Trust,40947.59,736968620.49
American High Income Trust,248670221.31,18416691624.12
American High-Income Municipal Bond Fund,142189815.84,10746659822.6
American International Trust,56857.7,348013155.8
American Resilience Portfolio,87032.67,1019613.7
American Trust Allegiance Fund,81300.04,26598174.88
Amplify BlackSwan Growth & Treasury Core ETF,104617.42,252829365.52
Amplify BlackSwan Tech & Treasury ETF,894.52,2199247.26
Amplify CWP Enhanced Dividend Income ETF,14190173.07,2675375875.58
Amplify High Income ETF,15739742.52,377621998.13
Amplify Inflation Fighter ETF,198121.5,11113294.91
Amplify International Enhanced Dividend Income ETF,1542655.7,14075433.11
Amplify Natural Resources Dividend Income ETF,1707.25,3505010.31
Amplify Online Retail ETF,17354539.57,239168954.9
Amplify Seymour Cannabis ETF,1865154.629999999,35255248.36
Amplify Thematic All-Stars ETF,87420.27,3949965.1
Amplify Transformational Data Sharing ETF,128316665.17,568011345.17
Anchor Risk Managed Credit Strategies Fund,96349.61,35471147.13
Anchor Risk Managed Equity Strategies Fund,915508.52,566225257.09
Ancora Dividend Value Equity Fund,48697.73,36983673.71
Ancora Income Fund,975799.06,33023041.14
Ancora Microcap Fund,74604.0,13592866.0
Ancora/Thelen Small-Mid Cap Fund,1108681.0,136311313.0
Anfield Diversified Alternatives ETF,75693.28,61224886.38
Anfield Dynamic Fixed Income ETF,58487.27,15529757.9
Anfield US Equity Sector Rotation ETF,103902.15,102214638.13
Anfield Universal Fixed Income ETF,2375555.17,121029130.26
Anfield Universal Fixed Income Fund,867993.01,113251259.99
Angel Oak Core Impact Fund,198512.9,34984174.6
Angel Oak Financial Strategies Income Term Trust,157458661.47,527186422.28
Angel Oak Financials Income Fund,784298.22,103982076.8
Angel Oak High Yield Opportunities Fund,1207809.15,64297138.94
Angel Oak Income ETF,814797.16,34450978.71
Angel Oak Multi-Strategy Income Fund,790496580.81,3731699598.16
Angel Oak Strategic Credit Fund,7518477.27,87893284.53
Angel Oak UltraShort Income Fund,3221426.18,696838628.45
Aperture Discover Equity Fund,25275360.96,385589899.89
Aperture Endeavour Equity Fund,51569633.82,186353497.89
Aperture International Equity Fund,87434531.34,354480511.25
Apollo Diversified Credit Fund,300083581.44,854286093.45
Apollo Diversified Real Estate Fund,139812775.38,5921006994.92
Applied Finance Dividend Fund,21793.03,28698480.65
Applied Finance Explorer Fund,366364.07,388763642.55
Applied Finance Select Fund,299989.91,401853022.91
Appreciation Portfolio,536242.55,183373390.69
Aquarius International Fund,1274418.92,380680251.91
Aquila Churchill Tax-Free Fund of Kentucky,1086728.6,167193210.5
Aquila High Income Fund,981135.28,108185851.86
Aquila Opportunity Growth Fund,390748.48,131455913.64
Aquila Tax-Free Fund For Utah,2949496.13,340821065.15
Aquila Tax-Free Fund of Colorado,1067033.48,184398393.39
Aquila Tax-Free Trust of Arizona,3334365.4,203540791.71
Aquila Tax-Free Trust of Oregon,2662845.56,464839936.06
Arca US Treasury Fund,198223.72,569689.34
Archer Dividend Growth Fund,34137.52,25825351.09
Archer Income Fund,169675.25,9935598.83
Archer Multi Cap Fund,11244.3,5020635.4
Archer Stock Fund,25517.43,22190864.34
Arena Strategic Income Fund,147013.05,198978.64
"Ares Dynamic Credit Allocation Fund, Inc.",195783895.39,502607846.73
Ares Private Markets Fund,874264.5,278585553.85
Argent Mid Cap ETF,11272.85,28069788.02
Ariel Appreciation Fund,261171.76,1141432020.3
Ariel Focus Fund,22115.11,62092836.85
Ariel Fund,5569971.89,2535041045.5
Ariel Global Fund,1381513.0,185760079.94
Ariel International Fund,2258561.58,678136774.44
Arin Large Cap Theta Fund,502701031.20000005,791245657.5799999
Aristotle Core Equity Fund,177971.57,167801780.93
Aristotle International Equity Fund,416462.83,378509771.16
Aristotle Small Cap Equity Fund,236231.04,190802289.36
Aristotle Value Equity Fund,529106.28,684519117.67
Armor US Equity Index ETF,1451838.83,47170703.08
Arrow DWA Tactical: Balanced Fund,4825736.08,45525333.91
Arrow DWA Tactical: International ETF,127575.66,11809855.1
Arrow DWA Tactical: Macro ETF,116613.26,3294394.73
Arrow DWA Tactical: Macro Fund,215730.84,75562038.69
Arrow Dow Jones Global Yield ETF,49490.47,27858829.62
Arrow Managed Futures Strategy Fund,170294288.02,323508693.03
Arrow Reserve Capital Management ETF,3613825.03,54429690.83
Arrow Reverse Cap 500 ETF,133177.75,27482168.44
ArrowMark Financial Corp.,60840563.28,208499623.84
Artisan Developing World Fund,6618616.98,3067060567.71
Artisan Emerging Markets Debt Opportunities Fund,275506.62,23829243.94
Artisan Floating Rate Fund,5078607.0600000005,146356130.41
Artisan Global Equity Fund,722994.0,192228452.94
Artisan Global Opportunities Fund,11790894.77,2833710792.38
Artisan Global Unconstrained Fund,2918556.72,19064479.01
Artisan Global Value Fund,1259319.34,1951773213.08
Artisan International Explorer Fund,84512.44,31351028.41
Artisan International Value Fund,30045422.06,23018891880.2
Artisan Mid Cap Value Fund,913339.78,1293477466.39
Artisan Select Equity Fund,65813.8,33347430.47
Artisan Small Cap Fund,853892.07,1869145274.38
Artisan Sustainable Emerging Markets Fund,569045.68,69836777.24
Artisan Value Fund,274317.0,223687670.99
Artisan Value Income Fund,70683.24,9821675.18
Ashmore Emerging Markets Active Equity Fund,69379120.09,124124673.66
Ashmore Emerging Markets Corporate Income ESG Fund,30158.69,7401811.45
Ashmore Emerging Markets Corporate Income Fund,524062.37,96906788.27
Ashmore Emerging Markets Equity ESG Fund,64294.46,11546181.05
Ashmore Emerging Markets Equity Fund,11026300.74,139954531.06
Ashmore Emerging Markets Frontier Equity Fund,245236.34,72639600.15
Ashmore Emerging Markets Investment Grade Income Fund,50521.69,17781943.11
Ashmore Emerging Markets Local Currency Bond Fund,257381.23,10224322.76
Ashmore Emerging Markets Short Duration Fund,1659426.68,70998094.82
Ashmore Emerging Markets Short Duration Select Fund,30328.47,9527242.11
Ashmore Emerging Markets Small-Cap Equity Fund,177992.69,9610954.4
Ashmore Emerging Markets Total Return Fund,31523855.17,555892574.35
Asia Opportunity Portfolio,2570730.63,210630458.42
Asian Growth Cubs ETF,8918.87,10830385.07
Aspiration Redwood Fund,198133.47,128300693.26
Aspiriant Defensive Allocation Fund,283860.25,1307316150.8
Aspiriant Risk-Managed Capital Appreciation Fund,9743022.02183,135737652.0602
Aspiriant Risk-Managed Equity Allocation Fund,697388.96,1452221138.79
Aspiriant Risk-Managed Municipal Bond Fund,1363468.4,878620686.92
Aspiriant Risk-Managed Real Assets Fund,13310267.88763,181407457.5466
Aspiriant Risk-Managed Taxable Bond Fund,112869.21,175005766.98
Asset Allocation Portfolio,38079.5,257767092.83
Astor Dynamic Allocation Fund,257117.75,110418909.5
Astor Sector Allocation Fund,92488.66,22540959.36
Athena Behavioral Tactical Fund,226193.87,36206386.21
